CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
12	3994	-94.115	0.000	0.7442	0.6519	1
12	4000	148.037	0.000	0.8308	0.6314	1
12	4042	148.037	0.000	0.7510	0.5662	1
12	4069	165.064	0.000	0.8333	0.7081	1
12	4177	0.000	0.000	0.9774	0.8804	1
12	4188	0.000	0.000	1.0000	1.0000	1
13	23	132.042	0.000	0.8873	0.5462	1
13	39	-176.069	0.000	0.8491	0.6147	1
13	91	-116.011	0.000	0.8676	0.5997	1
13	100	15.995	0.000	0.9598	0.7544	1
13	203	-174.052	0.000	0.7947	0.5595	1
13	244	-75.068	0.000	0.8441	0.4424	1
13	348	179.995	0.000	0.9184	0.6440	1
13	633	132.043	0.000	0.8914	0.4908	1
13	930	132.042	0.000	0.8599	0.4371	1
13	1021	-192.063	0.000	0.8647	0.5686	1
13	1034	179.010	0.000	0.9132	0.6874	1
13	1196	-116.011	0.000	0.8609	0.5774	1
13	1340	-30.011	0.000	0.9127	0.6941	1
13	1341	-30.011	0.000	0.9179	0.6343	1
13	1534	-14.016	0.000	0.7488	0.4796	1
13	1570	132.043	0.000	0.8969	0.5497	1
13	1630	-72.021	0.000	0.8292	0.6808	1
13	1949	-192.064	0.000	0.8749	0.6169	1
13	2077	-162.053	0.000	0.9002	0.6377	1
13	2080	132.042	0.000	0.8830	0.5676	1
13	2081	-43.990	0.000	0.9240	0.7030	1
13	2090	-294.096	0.000	0.8525	0.5341	1
13	2099	-176.069	0.000	0.8491	0.6147	1
13	2100	132.042	0.000	0.9027	0.5311	1
13	2146	-162.053	0.000	0.8312	0.5813	1
13	2169	-14.016	0.000	0.8656	0.7901	1
13	2174	-324.105	0.000	0.8787	0.6791	1
13	2188	-132.042	0.000	0.8017	0.6368	1
13	2206	-30.011	0.000	0.9208	0.6096	1
13	2261	-422.265	0.000	0.7270	0.3331	1
13	2277	-176.069	0.000	0.8491	0.6147	1
