row ID,row m/z,row retention time,intensity_measure,Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML Peak area,Unnamed: 13
732,779.4159342584635,6.970785533333334,area,0.0,0.0,0.0,0.0,0.0,0.0,46379.902744602325,2569.403096507048,0.0,2137428.1184005267,
733,435.2891204833985,7.312806019999999,area,0.0,0.0,0.0,0.0,141039.4250423801,194574.84574325025,782614.3146557626,811968.3077542203,0.0,60817.44372593453,
734,591.4977213541666,11.195312666666666,area,0.0,0.0,0.0,0.0,6521.326738549598,1843.5301822708595,0.0,0.0,0.0,817154.5274282731,
735,358.168083190918,2.8702222500000003,area,0.0,0.0,0.0,0.0,0.0,0.0,803546.5018152759,988601.0877480702,0.0,0.0,
736,368.1491546658936,4.3597509,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21199.529530649936,2591425.8093050504,
737,287.16004943847656,0.50845244,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24753.13112934289,2830610.5153042176,
738,272.1491241455078,1.583430725,area,0.0,0.0,0.0,0.0,0.0,0.0,782247.5241384396,615051.5839253458,147735.58333489424,125874.92314986316,
739,252.12267875671387,1.958678775,area,0.0,0.0,0.0,0.0,0.0,0.0,5077.004103637145,9247.990031872609,776021.7253576416,2871084.989974455,
740,265.19834899902344,3.46977025,area,0.0,0.0,0.0,0.0,0.0,0.0,1319496.8900648667,1710099.0382319724,703864.7711013753,410389.189025401,
741,346.11289978027344,2.7967516,area,0.0,0.0,0.0,0.0,281560.2012954603,255043.87005773265,0.0,0.0,275316.8452911276,745551.526789655,
742,716.5228607180176,9.94917311,area,15206.640116485418,6773.009783107284,18809.255641672316,6737.073449134374,2054291.246730814,841360.34572042,2100514.7320990004,1510468.546433398,678238.6820299374,79907.50057633233,
743,363.162841796875,2.19919435,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108799.5938532984,563101.222938496,
744,581.1504516601562,2.79571,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26897.12063331722,2091296.772248288,
745,611.2877807617188,3.566052,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775199.7973394366,
746,236.164052327474,3.268825233333333,area,0.0,0.0,0.0,0.0,4536.982538086025,11463.53172579773,0.0,0.0,0.0,1077131.3567627084,
