CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
347	3382	15	0.8115	-60.021
3263	3382	15	0.8253	-38.052
2511	4041	15	0.8366	28.031
3125	4041	15	0.8218	18.011
3231	4041	15	0.8966	2.006
3278	4041	15	0.8732	-17.026
3472	4041	15	0.8868	60.021
4003	4041	15	0.9212	-17.026
3174	3278	15	0.8115	56.063
3232	3278	15	0.8533	28.031
3278	4003	15	0.9003	0.000
3472	4003	15	0.8093	77.048
2511	3232	15	0.9002	17.026
3104	3232	15	0.9295	-0.000
3232	3263	15	0.8134	112.125
3232	4006	15	0.8497	-17.026
3183	3257	15	0.8069	94.042
3189	3257	15	0.8085	18.011
3125	3231	15	0.8349	16.005
3152	3231	15	0.8735	-17.016
3231	3544	15	0.8735	17.016
3183	3416	15	0.8327	-36.021
2511	3104	15	0.935	17.027
3104	3163	15	0.8747	-18.011
3104	3174	15	0.9537	-28.032
3104	3183	15	0.8752	18.010
3104	4003	15	0.806	28.031
3104	4006	15	0.8568	-17.027
3163	3174	15	0.8026	-10.021
3163	3183	15	0.8013	36.021
2511	4006	15	0.8852	0.000
3152	3544	15	1.0	0.000
3152	4003	15	0.8255	2.016
3544	4003	15	0.8255	2.016
2511	3183	15	0.812	35.037
3174	4003	15	0.8422	56.063
3243	3379	16	0.7751	36.021
3243	3417	16	0.7577	-162.053
1385	4362	17	1.0	0.000
366	483	18	0.9147	-242.058
366	1229	18	0.9624	14.016
366	1984	18	0.8356	32.026
1011	1299	18	0.8678	-15.995
519	2830	18	0.9232	-15.995
1130	2830	18	0.9248	35.038
1746	2830	18	0.9232	-15.995
2741	2830	18	0.9521	18.011
2800	2830	18	0.9248	35.037
2830	3029	18	0.9412	-0.000
2830	3092	18	1.0	-0.000
2830	3542	18	0.9412	0.001
2830	3806	18	0.9248	-35.037
15	25	18	0.9902	0.000
25	185	18	0.9673	82.021
25	386	18	0.9543	0.000
25	1253	18	0.984	0.000
25	2655	18	0.9634	65.030
25	2664	18	0.9935	0.000
25	2670	18	0.9634	65.030
25	2848	18	0.9634	65.030
121	3228	18	0.9342	-3.010
2378	3228	18	0.9342	-3.011
2956	3228	18	0.9276	0.000
3228	3238	18	0.887	-26.088
3228	3307	18	0.8837	-26.088
